task,n,idf_exponent,dim,normalize,position_weight,denominator,eval_sec,map,ndcg@10,ndcg@5,mrr,hit@1,hit@10,recall@10,p@10,rprec
typo_brutal,"(2,)",3.0,1.0,False,0.0,dice,0.26,0.03764,0.04288,0.03641,0.03764,0.02,0.076,0.076,0.0076,0.02
typo_brutal,"(2,)",3.0,1.0,False,0.5,dice,0.27,0.03941,0.04371,0.03714,0.03941,0.02,0.076,0.076,0.0076,0.02
typo_brutal,"(2,)",3.0,1.0,False,1.0,dice,0.24,0.04082,0.04538,0.03741,0.04082,0.02,0.08,0.08,0.008,0.02
typo_brutal,"(2,)",3.0,1.0,True,0.0,dice,0.28,0.03732,0.04398,0.03221,0.03732,0.016,0.084,0.084,0.0084,0.016
typo_brutal,"(2,)",3.0,1.0,True,0.5,dice,0.27,0.0398,0.0475,0.03441,0.0398,0.012,0.092,0.092,0.0092,0.012
typo_brutal,"(2,)",3.0,1.0,True,1.0,dice,0.3,0.04223,0.04895,0.03694,0.04223,0.012,0.092,0.092,0.0092,0.012
typo_brutal,"(2,)",3.0,1.0,True,0.0,geo,0.37,0.03626,0.04251,0.03061,0.03626,0.016,0.084,0.084,0.0084,0.016
typo_brutal,"(2,)",3.0,1.0,True,0.5,geo,0.4,0.03813,0.04707,0.03533,0.03813,0.008,0.096,0.096,0.0096,0.008
typo_brutal,"(2,)",3.0,1.0,True,1.0,geo,0.39,0.04455,0.05149,0.04066,0.04455,0.012,0.096,0.096,0.0096,0.012
typo_brutal,"(2,)",4.0,1.0,False,0.0,dice,0.25,0.03165,0.03428,0.02889,0.03165,0.02,0.056,0.056,0.0056,0.02
typo_brutal,"(2,)",4.0,1.0,False,0.5,dice,0.27,0.03028,0.03521,0.02871,0.03028,0.016,0.064,0.064,0.0064,0.016
typo_brutal,"(2,)",4.0,1.0,False,1.0,dice,0.29,0.02818,0.03227,0.02826,0.02818,0.012,0.06,0.06,0.006,0.012
typo_brutal,"(2,)",4.0,1.0,True,0.0,dice,0.31,0.02324,0.02468,0.01917,0.02324,0.008,0.048,0.048,0.0048,0.008
typo_brutal,"(2,)",4.0,1.0,True,0.5,dice,0.32,0.02507,0.02878,0.01979,0.02507,0.008,0.06,0.06,0.006,0.008
typo_brutal,"(2,)",4.0,1.0,True,1.0,dice,0.31,0.02869,0.03225,0.02207,0.02869,0.012,0.064,0.064,0.0064,0.012
typo_brutal,"(2,)",4.0,1.0,True,0.0,geo,0.37,0.02122,0.0236,0.01941,0.02122,0.004,0.048,0.048,0.0048,0.004
