n,idf_exponent,dim,normalize,position_weight,denominator,mean_rank,worst_rank,mean_normalized_map,map_abtbuy,map_ermagellan,map_typo,map_typo_brutal,map_typo_hard,map_typo_ms
"(2, 4)",2.0,2.0,True,0.5,dice,134.17,160,0.747,0.90084,0.78849,0.8338,0.08719,0.62992,0.7692
"(2,)",1.0,1.0,False,1.0,dice,134.67,248,0.736,0.81307,0.38018,0.85393,0.15345,0.71093,0.84299
"(2,)",2.0,1.0,True,0.5,geo,135.33,179,0.7233,0.90634,0.82152,0.82435,0.08334,0.58852,0.72794
"(2, 4)",2.0,1.0,True,0.0,dice,136.17,155,0.7494,0.8911,0.79355,0.82949,0.08959,0.64535,0.77346
"(2, 4)",1.0,2.0,False,0.5,dice,136.17,191,0.7834,0.849,0.68788,0.83419,0.12982,0.68867,0.84743
"(2, 3)",2.0,1.0,False,1.0,dice,136.17,162,0.7401,0.91424,0.75749,0.81539,0.08426,0.62736,0.77941
"(2, 3)",3.0,1.0,True,0.5,geo,136.67,211,0.6484,0.921,0.89853,0.76812,0.052,0.49617,0.67789
"(2, 4)",2.0,2.0,True,0.0,dice,137.17,171,0.7337,0.91086,0.78528,0.82888,0.08023,0.61983,0.75013
"(2, 3)",2.0,2.0,False,1.0,dice,137.83,167,0.7306,0.91591,0.7747,0.80885,0.08064,0.60984,0.77225
"(2, 3)",2.0,2.0,True,0.0,dice,138.17,172,0.7329,0.90419,0.7859,0.8327,0.08083,0.62253,0.74974
"(2, 3)",3.0,1.0,True,1.0,geo,138.5,205,0.6616,0.90743,0.90108,0.78128,0.05646,0.51661,0.69074
"(2, 3)",2.0,1.0,False,0.5,dice,138.67,168,0.7304,0.92675,0.75243,0.81032,0.07993,0.61066,0.76672
"(2, 3)",2.0,2.0,False,0.5,dice,139.17,171,0.7232,0.92125,0.77083,0.80457,0.07808,0.60252,0.76292
"(2, 3)",3.0,1.0,True,0.0,geo,139.33,217,0.6326,0.93267,0.89423,0.75652,0.04864,0.46818,0.663
"(2,)",2.0,1.0,True,0.0,geo,141.33,187,0.6928,0.91417,0.81418,0.80814,0.06902,0.56623,0.71126
"(2, 4)",3.0,1.0,True,0.5,dice,142.5,195,0.6568,0.91183,0.84406,0.77934,0.06171,0.51486,0.693
"(2, 4)",3.0,2.0,True,1.0,geo,142.5,203,0.6323,0.91187,0.89281,0.75931,0.05833,0.46569,0.66775
"(2, 4)",2.0,1.0,False,1.0,dice,142.5,173,0.7388,0.88396,0.77586,0.79252,0.0986,0.62611,0.80141
"(2, 3)",2.0,1.0,False,0.0,dice,143.0,177,0.7101,0.93204,0.74598,0.79591,0.07495,0.59739,0.74496
"(2, 4)",3.0,1.0,True,0.0,dice,143.0,201,0.6442,0.92033,0.83793,0.77063,0.05801,0.49906,0.68053
"(2,)",1.0,1.0,False,0.5,dice,144.17,251,0.7208,0.82397,0.3597,0.84239,0.14642,0.6969,0.84011
"(2, 4)",3.0,1.0,True,1.0,dice,144.5,190,0.6658,0.89894,0.85061,0.7823,0.06555,0.53427,0.70478
"(2, 3)",2.0,2.0,False,0.0,dice,144.5,179,0.7017,0.92204,0.76314,0.79292,0.07409,0.59261,0.73627
"(2, 4)",1.0,1.0,False,1.0,dice,144.67,189,0.7689,0.85026,0.68885,0.83322,0.12079,0.67706,0.84077
"(2, 4)",2.0,1.0,False,0.5,dice,144.67,174,0.7303,0.88678,0.77175,0.79251,0.09445,0.616,0.79549
"(2, 4)",0.5,1.0,False,0.5,dice,145.0,233,0.7445,0.8167,0.54807,0.83956,0.13346,0.69905,0.84656
"(2, 4)",3.0,2.0,True,0.5,geo,147.0,213,0.6048,0.9196,0.8863,0.74289,0.05029,0.44792,0.63592
"(2, 3)",1.0,2.0,False,0.0,dice,147.17,210,0.758,0.87898,0.60821,0.82243,0.11463,0.6897,0.82952
"(2, 4)",1.0,1.0,False,0.5,dice,147.67,187,0.7634,0.85251,0.68574,0.8303,0.11837,0.6702,0.83959
"(2, 3)",3.0,1.0,False,1.0,dice,147.67,210,0.6238,0.94117,0.82176,0.72959,0.06142,0.46142,0.66776
"(2, 3)",3.0,1.0,True,1.0,dice,148.67,200,0.633,0.90678,0.84833,0.77566,0.05809,0.48806,0.66662
"(2, 3)",3.0,2.0,True,0.5,geo,148.67,221,0.5965,0.92017,0.89467,0.74175,0.0466,0.44087,0.6236
"(2, 3)",3.0,2.0,True,1.0,geo,148.67,212,0.6154,0.90225,0.89783,0.76126,0.0505,0.46681,0.65005
"(2, 3)",0.0,2.0,False,0.0,dice,149.0,266,0.6204,0.69903,0.22266,0.83888,0.13786,0.71524,0.85166
"(2, 4)",0.5,2.0,False,0.0,dice,149.33,238,0.7337,0.80578,0.50262,0.83351,0.14357,0.69801,0.83812
"(2, 4)",0.0,2.0,False,0.0,dice,150.17,267,0.6226,0.69001,0.24409,0.83922,0.14336,0.70901,0.84868
"(2, 4)",3.0,1.0,False,0.5,dice,150.5,189,0.6738,0.89277,0.81562,0.76646,0.07442,0.54392,0.74614
"(2, 3)",3.0,2.0,True,0.0,geo,150.5,222,0.5805,0.93267,0.88334,0.72956,0.04654,0.405,0.6091
"(2, 4)",4.0,1.0,True,1.0,geo,151.0,220,0.5861,0.9146,0.89666,0.72357,0.05389,0.41518,0.6241
"(2,)",2.0,1.0,True,1.0,dice,151.33,177,0.7126,0.88267,0.75415,0.8353,0.0873,0.60995,0.73336
"(2, 3)",0.5,1.0,False,0.0,dice,151.33,244,0.7072,0.79611,0.45314,0.83175,0.12655,0.7144,0.84583
"(2, 3)",1.0,1.0,False,0.0,dice,151.33,223,0.7456,0.87921,0.58735,0.82365,0.10902,0.68616,0.82397
"(2, 4)",3.0,2.0,True,0.0,geo,151.5,224,0.5801,0.93243,0.88324,0.72472,0.04558,0.41737,0.60551
"(2, 3)",0.5,2.0,False,0.0,dice,151.67,246,0.7059,0.78816,0.4394,0.82833,0.1338,0.71349,0.84688
"(2, 3)",0.0,1.0,False,0.0,dice,151.67,262,0.6229,0.70836,0.2547,0.8378,0.12956,0.71354,0.85163
"(2, 4)",2.0,1.0,False,0.0,dice,152.0,179,0.7057,0.88511,0.76886,0.78104,0.08926,0.59378,0.77613
"(2, 4)",3.0,1.0,False,1.0,dice,152.67,185,0.6779,0.87877,0.81754,0.76907,0.07922,0.55313,0.75503
"(2, 4)",4.0,1.0,True,0.5,geo,152.67,223,0.5678,0.92876,0.89318,0.70563,0.0476,0.39772,0.60371
"(2, 4)",3.0,1.0,False,0.0,dice,152.83,198,0.6599,0.89791,0.80805,0.751,0.07505,0.52982,0.72971
"(2, 3)",3.0,1.0,True,0.5,dice,153.17,210,0.611,0.90942,0.84222,0.76764,0.05249,0.46276,0.64975
"(2, 4)",1.0,2.0,False,0.0,dice,153.5,186,0.7539,0.85508,0.68238,0.81736,0.11967,0.66539,0.82417
"(2, 3)",3.0,1.0,False,0.5,dice,154.17,216,0.6068,0.94783,0.80915,0.7214,0.05751,0.44366,0.65094
"(2, 3)",3.0,2.0,False,1.0,dice,154.67,217,0.5942,0.917,0.82936,0.72115,0.05882,0.44766,0.64531
"(2,)",2.0,1.0,True,0.5,dice,154.67,184,0.6904,0.89759,0.74037,0.82797,0.07496,0.58822,0.7164
"(2, 3)",3.0,2.0,False,0.5,dice,155.33,220,0.5878,0.94333,0.81783,0.71202,0.05473,0.42852,0.62905
"(2, 4)",1.0,1.0,False,0.0,dice,155.67,188,0.7362,0.85874,0.67816,0.81501,0.10793,0.65199,0.81871
