task,n,idf_exponent,dim,normalize,build_sec,eval_sec,map,ndcg@10,mrr,hit@1,recall@10
typo,"(1, 2)",1.0,3.0,True,0.14,3.16,0.92752,0.94149,0.92752,0.89212,0.9834
typo,"(1, 2)",2.0,0.5,False,0.16,3.0,0.77195,0.80416,0.77195,0.6888,0.91286
typo,"(1, 2)",2.0,0.5,True,0.16,2.95,0.86225,0.88114,0.86225,0.81743,0.94606
typo,"(1, 2)",2.0,1.0,False,0.16,2.99,0.77391,0.80841,0.77391,0.68465,0.92116
typo,"(1, 2)",2.0,1.0,True,0.16,2.75,0.85086,0.86834,0.85086,0.80498,0.92946
typo,"(1, 2)",2.0,2.0,False,0.16,2.88,0.76301,0.79801,0.76301,0.6639,0.91286
typo,"(1, 2)",2.0,2.0,True,0.16,3.05,0.8277,0.84376,0.8277,0.78838,0.90041
typo,"(1, 2)",2.0,3.0,False,0.16,3.06,0.76054,0.79619,0.76054,0.65975,0.91286
typo,"(1, 2)",2.0,3.0,True,0.16,3.4,0.7853,0.8037,0.7853,0.74274,0.87137
typo,"(1, 2)",3.0,0.5,False,0.19,3.09,0.61129,0.64973,0.61129,0.50207,0.79668
typo,"(1, 2)",3.0,0.5,True,0.19,3.19,0.71948,0.75467,0.71948,0.639,0.87552
typo,"(1, 2)",3.0,1.0,False,0.19,3.08,0.60434,0.64433,0.60434,0.49793,0.79668
typo,"(1, 2)",3.0,1.0,True,0.19,3.18,0.70954,0.73494,0.70954,0.6473,0.82573
typo,"(1, 2)",3.0,2.0,False,0.19,3.0,0.60048,0.64169,0.60048,0.49378,0.79668
typo,"(1, 2)",3.0,2.0,True,0.19,3.15,0.68581,0.70796,0.68581,0.63071,0.78423
typo,"(1, 2)",3.0,3.0,False,0.19,3.01,0.60057,0.64065,0.60057,0.49378,0.79253
typo,"(1, 2)",3.0,3.0,True,0.19,3.11,0.66031,0.68221,0.66031,0.60581,0.75934
typo,"(1, 3)",0.0,0.5,False,0.17,2.91,0.88332,0.8919,0.88332,0.85062,0.92531
typo,"(1, 3)",0.0,0.5,True,0.17,2.79,0.91237,0.92318,0.91237,0.88382,0.95851
typo,"(1, 3)",0.0,1.0,False,0.17,2.95,0.88383,0.89319,0.88383,0.85062,0.92946
typo,"(1, 3)",0.0,1.0,True,0.17,3.04,0.92446,0.93377,0.92446,0.89627,0.9668
typo,"(1, 3)",0.0,2.0,False,0.17,2.95,0.85029,0.86935,0.85029,0.80913,0.93776
typo,"(1, 3)",0.0,2.0,True,0.17,3.11,0.94882,0.95802,0.94882,0.92116,0.98755
typo,"(1, 3)",0.0,3.0,False,0.17,3.32,0.81622,0.8358,0.81622,0.77178,0.90871
typo,"(1, 3)",0.0,3.0,True,0.17,3.25,0.95057,0.95932,0.95057,0.92116,0.98755
typo,"(1, 3)",0.5,0.5,False,0.19,3.08,0.86608,0.88038,0.86608,0.82158,0.92946
typo,"(1, 3)",0.5,0.5,True,0.19,3.11,0.92001,0.92896,0.92001,0.89212,0.95851
typo,"(1, 3)",0.5,1.0,False,0.19,2.95,0.86768,0.88162,0.86768,0.82573,0.92946
typo,"(1, 3)",0.5,1.0,True,0.19,2.85,0.93372,0.94209,0.93372,0.90456,0.97095
